Layer,Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
7,-111,0,0.00,3,0.00
7,-110,0,0.00,3,0.00
7,-109,0,0.00,4,0.00
7,-108,0,0.00,3,0.00
7,-107,0,0.00,4,0.00
7,-106,0,0.00,4,0.00
7,-105,1,0.21,5,1.04
7,-104,0,0.00,3,0.00
7,-103,0,0.00,4,0.00
7,-102,2,0.42,4,1.67
7,-101,1,0.21,5,1.04
7,-100,1,0.21,4,0.83
7,-99,1,0.21,5,1.04
7,-98,2,0.42,5,2.08
7,-97,1,0.21,6,1.25
7,-96,1,0.21,2,0.42
7,-95,2,0.42,3,1.25
7,-94,2,0.42,3,1.25
7,-93,1,0.21,4,0.83
7,-92,0,0.00,3,0.00
7,-91,1,0.21,4,0.83
7,-90,2,0.42,4,1.67
7,-89,4,0.83,5,4.17
7,-88,0,0.00,3,0.00
7,-87,0,0.00,4,0.00
7,-86,1,0.21,4,0.83
7,-85,0,0.00,5,0.00
7,-84,4,0.83,4,3.33
7,-83,1,0.21,5,1.04
7,-82,2,0.42,5,2.08
7,-81,6,1.25,6,7.50
7,-80,4,0.83,3,2.50
7,-79,0,0.00,4,0.00
7,-78,3,0.62,4,2.50
7,-77,1,0.21,5,1.04
7,-76,3,0.62,4,2.50
7,-75,3,0.62,5,3.12
7,-74,2,0.42,5,2.08
7,-73,3,0.62,6,3.75
7,-72,1,0.21,4,0.83
7,-71,1,0.21,5,1.04
7,-70,3,0.62,5,3.12
7,-69,2,0.42,6,2.50
7,-68,2,0.42,5,2.08
7,-67,1,0.21,6,1.25
7,-66,1,0.21,6,1.25
7,-65,1,0.21,7,1.46
7,-64,2,0.42,2,0.83
